,Feature
0,gap_up_down_opening_T
1,RSI-14_T
2,RSI-14_T1
3,Japan_gap_up_down_opening_T
4,US_day_trend_T1
5,EMA_sm_cross_T1
6,FII_Options_Net_change_T2
7,Honkon_day_trend_T2
8,CDL3INSIDE_T1
9,Open Interest_T1
10,CDLSHOOTINGSTAR_T3
11,Singp_gap_up_down_opening_T
12,CDLSEPARATINGLINES_T3
13,Month_T
14,Day_T
15,MFI-14_T
16,CDL3LINESTRIKE_T3
17,CDL3OUTSIDE_T3
18,CDLRICKSHAWMAN_T3
19,Weekly_Pivots_T
20,Pivot_T
21,CDLADVANCEBLOCK_T3
22,China_gap_up_down_opening_T
23,CDLBELTHOLD_T3
24,china_today_init_trend_strength_up_shadow_T
25,CDLCLOSINGMARUBOZU_T3
26,china_today_init_trend_strength_low_shadow_T
27,CDLCOUNTERATTACK_T3
28,Honkon_gap_up_down_opening_T
29,china_today_init_trend_T
30,CDLBREAKAWAY_T3
31,CDLDARKCLOUDCOVER_T3
32,CDLDOJI_T3
33,hongkong_today_init_trend_T
34,hongkong_today_init_trend_strength_up_shadow_T
35,CDLDOJISTAR_T3
36,hongkong_today_init_trend_strength_low_shadow_T
37,CDLDRAGONFLYDOJI_T3
38,CDLENGULFING_T3
39,japan_today_init_trend_T
40,CDLEVENINGDOJISTAR_T3
41,japan_today_init_trend_strength_low_shadow_T
42,CDLEVENINGSTAR_T3
43,japan_today_init_trend_strength_up_shadow_T
44,CDLGAPSIDESIDEWHITE_T3
45,Day_trend_T1
46,CDLGRAVESTONEDOJI_T3
47,Day_trend_strength_low_shadow_T1
48,CDLHAMMER_T3
49,Day_trend_strength_up_shadow_T1
50,CDLHANGINGMAN_T3
51,Volume_T1
52,CDLHARAMI_T3
53,gap_up_down_opening_T1
54,CDLHARAMICROSS_T3
55,Change_in_Volume_T1
56,CDLHIGHWAVE_T3
57,CDLHIKKAKE_T3
58,Change in OI_T1
59,CDLHIKKAKEMOD_T3
60,MVWAP-7_T1
61,Pivot_T1
62,CDLHOMINGPIGEON_T3
63,Weekly_Pivots_T1
64,CDLINNECK_T3
65,CDLINVERTEDHAMMER_T3
66,trend_3_T1
67,CDLLADDERBOTTOM_T3
68,trend_8_T1
69,CDLLONGLEGGEDDOJI_T3
70,trend_13_T1
71,CDLLONGLINE_T3
72,trend_34_T1
73,CDLMARUBOZU_T3
74,trend_100_T1
75,CDLMATCHINGLOW_T3
76,trend_200_T1
77,CDLMORNINGDOJISTAR_T3
78,EMA_8_T1
79,CDLMORNINGSTAR_T3
80,EMA_21_T1
81,CDLONNECK_T3
82,EMA_55_T1
83,EMA_ml_cross_T1
84,CDLPIERCING_T3
85,EMA_sl_cross_T1
86,CDLSHORTLINE_T3
87,BollUp_T1
88,CDLSPINNINGTOP_T3
89,BollMid_T1
90,CDLSTALLEDPATTERN_T3
91,BollDown_T1
92,CDLTAKURI_T3
93,MACD_T1
94,CDLTASUKIGAP_T3
95,MACDsignal_T1
96,CDLTHRUSTING_T3
97,CDLUNIQUE3RIVER_T3
98,CDLUPSIDEGAP2CROWS_T3
99,ADX-14_T1
100,CDLXSIDEGAP3METHODS_T3
