,Feature
0,gap_up_down_opening_T
1,Pivot_T
2,RSI-14_T
3,china_today_init_trend_strength_low_shadow_T
4,japan_today_init_trend_strength_up_shadow_T
5,EMA_ml_cross_T1
6,RSI-14_T1
7,CDLHOMINGPIGEON_T1
8,CDLLONGLINE_T1
9,CDLPIERCING_T1
10,CDLSTALLEDPATTERN_T1
11,FII_Futures_Net_change_T1
12,US_trend_strength_up_shadow_T1
13,Singp_trend_strength_up_shadow_T1
14,Singp_trend_strength_low_shadow_T1
15,China_trend_strength_low_shadow_T1
16,Day_trend_strength_up_shadow_T2
17,Day_trend_strength_low_shadow_T2
18,EMA_55_T2
19,CDLDOJISTAR_T2
20,CDLHANGINGMAN_T2
21,CDLHIGHWAVE_T2
22,CDLINVERTEDHAMMER_T2
23,CDLSEPARATINGLINES_T2
24,CDLSPINNINGTOP_T2
25,US_trend_strength_up_shadow_T2
26,US_trend_strength_low_shadow_T2
27,Fran_trend_strength_up_shadow_T2
28,Singp_trend_strength_low_shadow_T2
29,China_day_trend_T2
30,Day_trend_T3
31,Day_trend_strength_up_shadow_T3
32,Day_trend_strength_low_shadow_T3
33,CDLGRAVESTONEDOJI_T3
34,CDLHAMMER_T3
35,CDLHIKKAKEMOD_T3
36,CDLINVERTEDHAMMER_T3
37,CDLONNECK_T3
38,CDLSEPARATINGLINES_T3
39,CDLSHOOTINGSTAR_T3
40,CDLUPSIDEGAP2CROWS_T3
41,FII_Futures_Net_change_T3
42,Day_trend_strength_up_shadow_T4
43,CDLDRAGONFLYDOJI_T4
44,CDLGAPSIDESIDEWHITE_T4
45,CDLGRAVESTONEDOJI_T4
46,CDLHIKKAKE_T4
47,CDLHIKKAKEMOD_T4
48,EMA_sm_cross_T5
49,CDLMATCHINGLOW_T5
