,Feature
0,EMA_21_T1
1,Pivot_T
2,RSI-14_T
3,EMA_sm_cross_T1
4,RSI-14_T1
5,EMA_55_T1
6,MFI-14_T
7,RSI-14_T2
8,Weekly_Pivots_T
9,Japan_gap_up_down_opening_T
10,MFI-14_T1
11,change_in_crude_price_T1
12,EMA_21_T2
13,RSI-14_T3
14,Lon_day_trend_T1
15,US_gap_up_down_opening_T1
16,BollUp_T3
17,trend_8_T1
18,Day_trend_T5
19,Change in OI_T2
20,EMA_55_T3
21,US_day_trend_T2
22,Fran_day_trend_T3
23,Fran_day_trend_T1
24,Fran_trend_strength_low_shadow_T1
25,Fran_day_trend_T2
26,Open Interest_T2
27,MVWAP-7_T1
28,FII_Options_Net_change_T5
29,FII_Futures_Net_change_T5
30,FII_Options_Net_change_T2
31,hongkong_today_init_trend_T
32,Change_in_Volume_T4
33,gap_up_down_opening_T1
34,VIX_T1
35,Change_in_Volume_T3
36,Honkon_gap_up_down_opening_T
37,Singp_day_trend_T1
38,MVWAP-7_T3
39,gap_up_down_opening_T
40,Change in OI_T1
41,MACD_T1
42,FII_Futures_Net_change_T3
43,Japan_day_trend_T1
44,China_gap_up_down_opening_T
45,EMA_55_T4
46,trend_13_T1
47,China_trend_strength_up_shadow_T2
48,Change_in_dollar_rate_T1
49,China_day_trend_T3
50,Open Interest_T5
51,US_day_trend_T1
52,China_day_trend_T1
53,change_in_crude_price_T4
54,trend_34_T1
55,VIX_T2
56,change_in_crude_price_T3
57,RSI-14_T4
58,gap_up_down_opening_T2
59,China_day_trend_T5
60,VIX_T5
61,Honkon_day_trend_T3
62,Day_trend_T1
63,BollDown_T4
64,Change_in_dollar_rate_T3
65,Change_in_Volume_T5
66,Honkon_day_trend_T5
67,MFI-14_T5
68,BollDown_T5
69,MFI-14_T2
70,FII_Options_Net_change_T1
71,EMA_21_T4
72,ADOSC_T1
73,BollDown_T2
74,Singp_day_trend_T3
75,gap_up_down_opening_T4
76,Change_in_dollar_rate_T5
77,US_gap_up_down_opening_T2
78,EMA_8_T1
79,gap_up_down_opening_T3
80,Japan_day_trend_T4
81,Change_in_Volume_T1
82,Japan_day_trend_T3
83,Fran_gap_up_down_opening_T2
84,change_in_crude_price_T5
85,Day_trend_strength_low_shadow_T2
86,China_trend_strength_low_shadow_T1
87,ADX-14_T1
88,hongkong_today_init_trend_strength_low_shadow_T
89,Lon_day_trend_T2
90,OBV_T3
91,Honkon_day_trend_T4
92,japan_today_init_trend_T
93,MFI-14_T3
94,BollMid_T4
95,Fran_trend_strength_up_shadow_T2
96,BollDown_T3
97,MACD_T3
98,FII_Options_Net_change_T3
99,Honkon_gap_up_down_opening_T1
100,Lon_day_trend_T5
