,Feature
0,gap_up_down_opening_T
1,RSI-14_T3
2,EMA_21_T1
3,EMA_55_T1
4,EMA_sm_cross_T1
5,BollUp_T3
6,EMA_21_T3
7,RSI-14_T1
8,CDLHARAMI_T2
9,EMA_sm_cross_T2
10,EMA_21_T2
11,gap_up_down_opening_T2
12,Singp_trend_strength_low_shadow_T1
13,Fran_day_trend_T1
14,Lon_day_trend_T1
15,US_trend_strength_low_shadow_T1
16,EMA_21_T4
17,Day_trend_T5
18,EMA_sm_cross_T3
19,change_in_crude_price_T1
20,Pivot_T
21,Weekly_Pivots_T
22,Japan_gap_up_down_opening_T
23,RSI-14_T
24,MFI-14_T
25,China_gap_up_down_opening_T
26,japan_today_init_trend_strength_up_shadow_T
27,trend_34_T1
28,Day_trend_strength_up_shadow_T3
29,Weekly_Pivots_T1
30,FII_Futures_Net_change_T3
31,Change in OI_T5
32,Day_trend_strength_low_shadow_T5
33,Volume_T2
34,Fran_day_trend_T3
35,ADOSC_T5
36,US_day_trend_T1
37,Lon_trend_strength_low_shadow_T2
38,MACD_T3
39,Volume_T1
40,Fran_trend_strength_low_shadow_T1
41,US_day_trend_T2
42,Honkon_trend_strength_low_shadow_T2
43,MFI-14_T5
44,trend_8_T1
45,BollUp_T5
46,Weekly_Pivots_T2
47,EMA_55_T3
48,US_trend_strength_low_shadow_T2
49,Day_trend_strength_low_shadow_T4
50,china_today_init_trend_strength_up_shadow_T
51,Singp_gap_up_down_opening_T1
52,Pivot_T5
53,EMA_8_T2
54,Japan_trend_strength_up_shadow_T1
55,Pivot_T2
56,EMA_sm_cross_T5
57,MFI-14_T3
58,US_gap_up_down_opening_T1
59,Honkon_gap_up_down_opening_T
60,Volume_T3
61,Fran_trend_strength_low_shadow_T2
62,Change_in_Volume_T4
63,Change in OI_T2
64,ADOSC_T1
65,RSI-14_T4
66,FII_Options_Net_change_T2
67,change_in_crude_price_T4
68,gap_up_down_opening_T3
69,China_day_trend_T5
70,China_day_trend_T1
71,Open Interest_T2
72,VIX_T5
73,Lon_day_trend_T2
74,Change_in_Volume_T3
75,Lon_trend_strength_up_shadow_T1
76,hongkong_today_init_trend_strength_up_shadow_T
77,Day_trend_T4
78,ADX-14_T1
79,trend_100_T1
80,Day_trend_strength_up_shadow_T2
81,China_day_trend_T2
82,change_in_crude_price_T3
83,Lon_trend_strength_up_shadow_T2
84,Fran_trend_strength_up_shadow_T2
85,EMA_8_T3
86,MVWAP-7_T3
87,EMA_55_T2
88,hongkong_today_init_trend_T
89,US_day_trend_T4
90,China_trend_strength_up_shadow_T2
91,MVWAP-7_T4
92,Pivot_T1
93,Open Interest_T5
94,Singp_day_trend_T5
95,Japan_day_trend_T1
96,Fran_gap_up_down_opening_T2
97,US_gap_up_down_opening_T2
98,BollDown_T4
99,Singp_trend_strength_low_shadow_T2
